asin_id,sku_id,image_link
B0CJ1LLTV2,AMZ1224BLKWM,https://profitamazon.com/public/uploads/products/202409081013518h-iQ%2BNLL._SX679_.jpg
B0BYZRLM8M,HY-ROGK-EZ4M,https://profitamazon.com/public/uploads/products/20240923011151S4D4TxpzL._SX679_.jpg
B0BVG7CF78,CB-2NPI-QLIA,https://profitamazon.com/public/uploads/products/20240923011371iNWHidLJL._SX679_.jpg
B0DGJCSZKS,AMZ1252BG,https://profitamazon.com/public/uploads/products/20241113181651HAeotmHcL._SX569_.jpg
B0DGJ7HBQX,AMZ1252BLK,https://profitamazon.com/public/uploads/products/202411142015htttt.jpg
B0CP4HBS5S,AMZ1206BLKSet,https://profitamazon.com/public/uploads/products/20240923181541WqglcSlvL._SX679_.jpg
B0CJ1CGBRZ,AMZ1224GLD,https://profitamazon.com/public/uploads/products/20240923181851og-qImWSL._SX679_.jpg
B0CJ1FMTF7,AMZ1224BLKGM,https://profitamazon.com/public/uploads/products/20240923182041KqV8q9FTL._SX300_SY300_QL70_FMwebp_.webp
B0CJ164MBT,AMZ1224GLDGM,https://profitamazon.com/public/uploads/products/20240923182251BxQdfeVEL._SX679_.jpg
B0CJ1KC3J9,AMZ1203GLD,https://profitamazon.com/public/uploads/products/20240923182341VIH8kxOIL._SX679_.jpg
B0BSP674VS,AMZ1184BLKS6,https://profitamazon.com/public/uploads/products/20240923190151PlZGB-M5L._SX679_.jpg
B0B8QTJCXQ,AMZ1157BLKS1,https://profitamazon.com/public/uploads/products/20240923190351V3RGYP7SL._SX679_.jpg
B0CP4GYRBQ,AMZ1220LBG,https://profitamazon.com/public/uploads/products/202411181751lkkjh.jpg
B0B8QHRZRD,AMZ1157WHTS1,https://profitamazon.com/public/uploads/products/20241118185212345ede.jpg
